,Simulation,Dimension,Aspect,Threshold,Reliability,Stress
0,1,Magnitude,Service,0,99.38023914583027,1.0309278350515463
1,1,Magnitude,Spatial,0,56.44329896907217,1.0309278350515463
2,1,Magnitude,Continuity,0,82.29166666666666,1.0309278350515463
3,1,Peak,Service,0,91.33868291974068,1.0309278350515463
4,1,Peak,Spatial,0,78.09278350515464,1.0309278350515463
5,1,Time to Peak,Service,0,1.0416666666666665,1.0309278350515463
6,1,Time to Recovery,Service,0,75.0,1.0309278350515463
7,1,Time to Peak,Spatial,0,1.0416666666666665,1.0309278350515463
8,1,Time to Recovery,Spatial,0,75.0,1.0309278350515463
9,1,Magnitude,Service,1,99.77562290150672,1.0309278350515463
10,1,Magnitude,Spatial,1,82.73195876288659,1.0309278350515463
11,1,Magnitude,Continuity,1,91.66666666666666,1.0309278350515463
12,1,Peak,Service,1,94.18299905955791,1.0309278350515463
13,1,Peak,Spatial,1,90.4639175257732,1.0309278350515463
14,1,Time to Peak,Service,1,1.0416666666666665,1.0309278350515463
15,1,Time to Recovery,Service,1,90.625,1.0309278350515463
16,1,Time to Peak,Spatial,1,1.0416666666666665,1.0309278350515463
17,1,Time to Recovery,Spatial,1,90.625,1.0309278350515463
18,1,Magnitude,Service,0,98.71488567441702,1.8041237113402062
19,1,Magnitude,Spatial,0,25.257731958762886,1.8041237113402062
20,1,Magnitude,Continuity,0,89.58333333333334,1.8041237113402062
21,1,Peak,Service,0,66.03687405586243,1.8041237113402062
22,1,Peak,Spatial,0,43.55670103092783,1.8041237113402062
23,1,Time to Peak,Service,0,1.0416666666666665,1.8041237113402062
24,1,Time to Recovery,Service,0,88.54166666666666,1.8041237113402062
25,1,Time to Peak,Spatial,0,1.0416666666666665,1.8041237113402062
26,1,Time to Recovery,Spatial,0,88.54166666666666,1.8041237113402062
27,1,Magnitude,Service,1,99.48548567481339,1.8041237113402062
28,1,Magnitude,Spatial,1,52.57731958762887,1.8041237113402062
29,1,Magnitude,Continuity,1,90.625,1.8041237113402062
30,1,Peak,Service,1,80.53382784128189,1.8041237113402062
31,1,Peak,Spatial,1,65.72164948453609,1.8041237113402062
32,1,Time to Peak,Service,1,1.0416666666666665,1.8041237113402062
33,1,Time to Recovery,Service,1,89.58333333333334,1.8041237113402062
34,1,Time to Peak,Spatial,1,1.0416666666666665,1.8041237113402062
35,1,Time to Recovery,Spatial,1,89.58333333333334,1.8041237113402062
36,1,Magnitude,Service,0,99.17234051972628,3.0927835051546393
37,1,Magnitude,Spatial,0,38.91752577319587,3.0927835051546393
38,1,Magnitude,Continuity,0,90.625,3.0927835051546393
39,1,Peak,Service,0,75.17174333333969,3.0927835051546393
40,1,Peak,Spatial,0,56.70103092783505,3.0927835051546393
41,1,Time to Peak,Service,0,1.0416666666666665,3.0927835051546393
42,1,Time to Recovery,Service,0,89.58333333333334,3.0927835051546393
43,1,Time to Peak,Spatial,0,1.0416666666666665,3.0927835051546393
44,1,Time to Recovery,Spatial,0,89.58333333333334,3.0927835051546393
45,1,Magnitude,Service,1,99.33452382683754,3.0927835051546393
46,1,Magnitude,Spatial,1,39.175257731958766,3.0927835051546393
47,1,Magnitude,Continuity,1,90.625,3.0927835051546393
48,1,Peak,Service,1,75.73496848344803,3.0927835051546393
49,1,Peak,Spatial,1,57.21649484536082,3.0927835051546393
50,1,Time to Peak,Service,1,1.0416666666666665,3.0927835051546393
51,1,Time to Recovery,Service,1,89.58333333333334,3.0927835051546393
52,1,Time to Peak,Spatial,1,1.0416666666666665,3.0927835051546393
53,1,Time to Recovery,Spatial,1,89.58333333333334,3.0927835051546393
54,1,Magnitude,Service,0,97.50168193131685,5.154639175257732
55,1,Magnitude,Spatial,0,10.567010309278347,5.154639175257732
56,1,Magnitude,Continuity,0,82.29166666666666,5.154639175257732
57,1,Peak,Service,0,63.61381113529205,5.154639175257732
58,1,Peak,Spatial,0,34.02061855670103,5.154639175257732
59,1,Time to Peak,Service,0,1.0416666666666665,5.154639175257732
60,1,Time to Recovery,Service,0,76.04166666666666,5.154639175257732
61,1,Time to Peak,Spatial,0,1.0416666666666665,5.154639175257732
62,1,Time to Recovery,Spatial,0,76.04166666666666,5.154639175257732
63,1,Magnitude,Service,1,99.04158571735024,5.154639175257732
64,1,Magnitude,Spatial,1,19.329896907216494,5.154639175257732
65,1,Magnitude,Continuity,1,90.625,5.154639175257732
66,1,Peak,Service,1,67.1608567237854,5.154639175257732
67,1,Peak,Spatial,1,38.4020618556701,5.154639175257732
68,1,Time to Peak,Service,1,1.0416666666666665,5.154639175257732
69,1,Time to Recovery,Service,1,89.58333333333334,5.154639175257732
70,1,Time to Peak,Spatial,1,1.0416666666666665,5.154639175257732
71,1,Time to Recovery,Spatial,1,89.58333333333334,5.154639175257732
72,1,Magnitude,Service,0,96.57532386481762,8.762886597938145
73,1,Magnitude,Spatial,0,3.0927835051546393,8.762886597938145
74,1,Magnitude,Continuity,0,73.95833333333333,8.762886597938145
75,1,Peak,Service,0,55.60714602470398,8.762886597938145
76,1,Peak,Spatial,0,19.845360824742265,8.762886597938145
77,1,Time to Peak,Service,0,1.0416666666666665,8.762886597938145
78,1,Time to Recovery,Service,0,61.45833333333333,8.762886597938145
79,1,Time to Peak,Spatial,0,1.0416666666666665,8.762886597938145
80,1,Time to Recovery,Spatial,0,61.45833333333333,8.762886597938145
81,1,Magnitude,Service,1,98.11274539679289,8.762886597938145
82,1,Magnitude,Spatial,1,20.618556701030933,8.762886597938145
83,1,Magnitude,Continuity,1,80.20833333333334,8.762886597938145
84,1,Peak,Service,1,62.91375756263733,8.762886597938145
85,1,Peak,Spatial,1,31.185567010309278,8.762886597938145
86,1,Time to Peak,Service,1,1.0416666666666665,8.762886597938145
87,1,Time to Recovery,Service,1,75.0,8.762886597938145
